PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
86449,31/10/2005,XLB,SECTOR SPDR TRUST,81369Y10,,27.56000,0.002182,27208,-0.020877,-0.033876
86449,30/11/2005,XLB,SECTOR SPDR TRUST,81369Y10,,29.67000,0.076560,27259,0.040329,0.034319
86449,30/12/2005,XLB,SECTOR SPDR TRUST,81369Y10,,30.28000,0.028511,31459,0.003456,0.013484
86449,31/01/2006,XLB,SECTOR SPDR TRUST,81369Y10,,31.74000,0.048217,25259,0.040044,0.076354
86449,28/02/2006,XLB,SECTOR SPDR TRUST,81369Y10,,31.06000,-0.021424,27960,-0.001637,0.004836
86449,31/03/2006,XLB,SECTOR SPDR TRUST,81369Y10,,32.35000,0.046625,32460,0.019053,0.036978
86449,28/04/2006,XLB,SECTOR SPDR TRUST,81369Y10,,33.50000,0.035549,28310,0.012965,0.009791
86449,31/05/2006,XLB,SECTOR SPDR TRUST,81369Y10,,32.15000,-0.040298,28012,-0.031045,-0.044331
86449,30/06/2006,XLB,SECTOR SPDR TRUST,81369Y10,,32.10000,0.004869,38312,-0.000386,-0.008479
86449,31/07/2006,XLB,SECTOR SPDR TRUST,81369Y10,,30.90000,-0.037383,30362,-0.001884,-0.022698
